City,State,Population,lat,lon,Status,Color
Largo,Florida,78409,27.9094665,-82.7873244,2,yellow
Fresno,California,509924,36.7468422,-119.7725868,3,red
Phenix City,Alabama,37498,32.4709761,-85.0007653,4,black
Berwyn,Illinois,56758,41.8505874,-87.7936685,1,green
Palm Beach Gardens,Florida,50699,26.8233946,-80.1386547,2,yellow
Pawtucket,Rhode Island,71172,41.878711,-71.3825558,3,red
San Gabriel,California,40275,34.0961111,-118.1058333,4,black
Winston-Salem,North Carolina,236441,36.0998596,-80.244216,1,green
Alpharetta,Georgia,62298,34.0753762,-84.2940899,2,yellow
O'Fallon,Missouri,82809,38.8106075,-90.6998477,3,red
Redwood City,California,80872,37.4852152,-122.2363548,4,black
Union City,California,72528,37.5933918,-122.0438298,1,green
Hallandale Beach,Florida,38632,25.9812024,-80.148379,2,green
Mankato,Minnesota,40641,44.1635775,-93.9993996,3,yellow
Aliso Viejo,California,50175,33.5676842,-117.7256083,4,red
Menifee,California,83447,33.6971468,-117.185294,1,black
Loveland,Colorado,71334,40.3977612,-105.0749801,2,green
Carpentersville,Illinois,38241,42.1211364,-88.2578582,3,yellow
Providence,Rhode Island,177994,41.8239891,-71.4128343,4,red
Hialeah,Florida,233394,25.8575963,-80.2781057,1,black
San Ramon,California,74513,37.7799273,-121.9780153,2,green
Ontario,California,167500,34.0633443,-117.6508876,3,yellow
Kirkland,Washington,84430,47.6814875,-122.2087353,4,red
St. George,Utah,76817,37.0965278,-113.5684164,1,black
Hilton Head Island,South Carolina,39412,32.216316,-80.752608,2,green
Glendale,California,196021,34.1425078,-118.255075,3,green
Meriden,Connecticut,60456,41.5381535,-72.8070435,4,yellow
Gardena,California,59957,33.8883487,-118.3089624,1,red
Westfield,Massachusetts,41301,42.1250929,-72.749538,2,black
Elgin,Illinois,110145,42.0354084,-88.2825668,3,green
Plano,Texas,274409,33.0198431,-96.6988856,4,yellow
Longmont,Colorado,89919,40.1672068,-105.1019275,1,red
Coppell,Texas,40342,32.9545687,-97.0150078,2,black
Lakewood,Ohio,51143,41.4819932,-81.7981908,3,green
Jonesboro,Arkansas,71551,35.8422967,-90.704279,4,yellow
College Station,Texas,100050,30.627977,-96.3344068,1,red
Dearborn,Michigan,95884,42.3222599,-83.1763145,2,black
Utica,New York,61808,43.100903,-75.232664,3,green
Monroe,Louisiana,49761,32.5093109,-92.1193012,4,green
Baltimore,Maryland,622104,39.2903848,-76.6121893,1,yellow
Springfield,Missouri,164122,37.2089572,-93.2922989,2,red
Pine Bluff,Arkansas,46094,34.2284312,-92.0031955,3,black
Plainfield,New Jersey,50588,40.6337136,-74.4073736,4,green
Lynn,Massachusetts,91589,42.466763,-70.9494938,1,yellow
Woodbury,Minnesota,65656,44.9238552,-92.9593797,2,red
Gainesville,Florida,127488,29.6516344,-82.3248262,3,black
West Sacramento,California,49891,38.5804609,-121.530234,4,green
Sammamish,Washington,50169,47.6162683,-122.0355736,1,yellow
Aventura,Florida,37199,25.9564812,-80.1392121,2,red
Fayetteville,Arkansas,78960,36.0625795,-94.1574263,3,black
San Rafael,California,58994,37.9735346,-122.5310874,4,green
Conway,Arkansas,63816,35.0886963,-92.4421011,1,green
Tacoma,Washington,203446,47.2528768,-122.4442906,2,yellow
Middletown,Connecticut,47333,41.5623209,-72.6506488,3,red
Burlington,Vermont,42284,44.4758825,-73.212072,4,black
Twin Falls,Idaho,45981,42.5629668,-114.4608711,1,green
Sherman,Texas,39296,33.6356618,-96.6088805,2,yellow
New York,New York,8405837,40.7127837,-74.0059413,3,red
Simi Valley,California,126181,34.2694474,-118.781482,4,black
West Covina,California,107740,34.0686208,-117.9389526,1,green
Castle Rock,Colorado,53063,39.3722121,-104.8560902,2,yellow
Valdosta,Georgia,56481,30.8327022,-83.2784851,3,red
Fort Worth,Texas,792727,32.7554883,-97.3307658,4,black
Carson,California,92599,33.8316745,-118.281693,1,green
Evansville,Indiana,120310,37.9715592,-87.5710898,2,green
Santa Maria,California,102216,34.9530337,-120.4357191,3,yellow
Brentwood,Tennessee,40021,36.0331164,-86.7827772,4,red
La Mesa,California,58642,32.7678287,-117.0230839,1,black
Westminster,Colorado,110945,39.8366528,-105.0372046,2,green
Reading,Pennsylvania,87893,40.3356483,-75.9268747,3,yellow
Turlock,California,70365,37.4946568,-120.8465941,4,red
Greeley,Colorado,96539,40.4233142,-104.7091322,1,black
Tyler,Texas,100223,32.3512601,-95.3010624,2,green
Winter Garden,Florida,37711,28.5652787,-81.5861847,3,yellow
Waco,Texas,129030,31.549333,-97.1466695,4,red
Martinez,California,37165,38.0193657,-122.1341321,1,black
Thousand Oaks,California,128731,34.1705609,-118.8375937,2,green
Azusa,California,47842,34.1336186,-117.9075627,3,green
Bridgeport,Connecticut,147216,41.1865478,-73.1951767,4,yellow
St. Louis Park,Minnesota,47411,44.9597376,-93.3702186,1,red
Chesterfield,Missouri,47749,38.6631083,-90.5770675,2,black
Greenacres,Florida,38696,26.6276276,-80.1353896,3,green
Pasco,Washington,67599,46.2395793,-119.1005657,4,yellow
Torrance,California,147478,33.8358492,-118.3406288,1,red
Madison,Wisconsin,243344,43.0730517,-89.4012302,2,black
Janesville,Wisconsin,63820,42.6827885,-89.0187222,3,green
Waukegan,Illinois,88826,42.3636331,-87.8447938,4,yellow
Bowling Green,Kentucky,61488,36.9685219,-86.4808043,1,red
Arlington,Texas,379577,32.735687,-97.1080656,2,black
Lewisville,Texas,101074,33.046233,-96.994174,3,green
Farmington,New Mexico,45426,36.7280583,-108.2186856,4,green
Oakley,California,38194,37.9974219,-121.7124536,1,yellow
Palo Alto,California,66642,37.4418834,-122.1430195,2,red
Springfield,Oregon,60177,44.0462362,-123.0220289,3,black
New Bedford,Massachusetts,95078,41.6362152,-70.934205,4,green
Redmond,Washington,57530,47.6739881,-122.121512,1,yellow
Brentwood,California,55000,37.931868,-121.6957863,2,red
Davis,California,66205,38.5449065,-121.7405167,3,black
La Mirada,California,49133,33.9172357,-118.0120086,4,green
Smyrna,Tennessee,43060,35.9828412,-86.5186045,1,yellow
Altoona,Pennsylvania,45796,40.5186809,-78.3947359,2,red
Dothan,Alabama,68001,31.2232313,-85.3904888,3,black
East Orange,New Jersey,64544,40.767323,-74.2048677,4,green
Tinley Park,Illinois,57282,41.5731442,-87.7932939,1,green
Biloxi,Mississippi,44820,30.3960318,-88.8853078,2,yellow
Urbana,Illinois,41752,40.1105875,-88.2072697,3,red
Garden Grove,California,175140,33.7739053,-117.9414477,4,black
Lynwood,California,71371,33.930293,-118.2114603,1,green
Northglenn,Colorado,37499,39.8961821,-104.9811468,2,yellow
Canton,Ohio,72535,40.7989473,-81.378447,3,red
Brookhaven,Georgia,50603,33.8651033,-84.3365917,4,black
Baton Rouge,Louisiana,229426,30.4582829,-91.1403196,1,green
Bristol,Connecticut,60568,41.6717648,-72.9492703,2,yellow
Independence,Missouri,117240,39.0911161,-94.4155068,3,red
Lansing,Michigan,113972,42.732535,-84.5555347,4,black
Orland Park,Illinois,58590,41.6303103,-87.8539425,1,green
Vineland,New Jersey,61050,39.4863773,-75.0259637,2,green
Green Bay,Wisconsin,104779,44.519159,-88.019826,3,yellow
Evanston,Illinois,75570,42.0450722,-87.6876969,4,red
Ocoee,Florida,39172,28.5691677,-81.5439619,1,black
Los Angeles,California,3884307,34.0522342,-118.2436849,2,green
Federal Way,Washington,92734,47.3223221,-122.3126222,3,yellow
West Jordan,Utah,110077,40.6096698,-111.9391031,4,red
Yucaipa,California,52536,34.033625,-117.0430865,1,black
Pittsburgh,Pennsylvania,305841,40.4406248,-79.9958864,2,green
Downey,California,113242,33.9401088,-118.1331593,3,yellow
Cicero,Illinois,84103,41.8455877,-87.7539448,4,red
South Gate,California,95677,33.954737,-118.2120161,1,black
Panama City,Florida,36877,30.1588129,-85.6602058,2,green
Joplin,Missouri,50789,37.0842271,-94.513281,3,green
League City,Texas,90983,29.5074538,-95.0949303,4,yellow
Salt Lake City,Utah,191180,40.7607793,-111.8910474,1,red
Fort Pierce,Florida,43074,27.4467056,-80.3256056,2,black
Phoenix,Arizona,1513367,33.4483771,-112.0740373,3,green
Corvallis,Oregon,55298,44.5645659,-123.2620435,4,yellow
Cedar Hill,Texas,46663,32.5884689,-96.9561152,1,red
Chicopee,Massachusetts,55717,42.1487043,-72.6078672,2,black
Ocala,Florida,57468,29.1871986,-82.1400923,3,green
Roswell,Georgia,94034,34.0232431,-84.3615555,4,yellow
Park Ridge,Illinois,37839,42.0111412,-87.8406192,1,red
Concord,New Hampshire,42419,43.2081366,-71.5375718,2,black
Olympia,Washington,48338,47.0378741,-122.9006951,3,green
